"03-29-18_data_table_logger_20288025"
"Seconds past 5:00:00 AM","Intensity, Lux","log10(Intensity+1)"
7680,6.71,0.887054
7690,6.93,0.899273
7700,7.38,0.923244
7710,7.83,0.945961
7720,8.27,0.96708
7730,8.5,0.977724
7740,8.94,0.997386
7750,9.39,1.01662
7760,9.84,1.03503
7770,10.06,1.04376
7780,10.51,1.06108
7790,10.96,1.07773
7800,11.41,1.09377
7810,11.63,1.1014
7820,11.66,1.10243
7830,11.88,1.10992
7840,12.33,1.12483
7850,12.78,1.13925
7860,13.22,1.1529
7870,13.67,1.16643
7880,14.34,1.18583
7890,15.01,1.20439
7900,15.68,1.2222
7910,16.16,1.23452
7920,17.05,1.25648
7930,17.73,1.27254
7940,18.4,1.2878
7950,19.07,1.30255
7960,19.96,1.32139
7970,20.86,1.33965
7980,21.33,1.34889
7990,22,1.36173
8000,22.68,1.37438
8010,23.35,1.3865
8020,24.02,1.39829
8030,24.69,1.40976
8040,25.36,1.42095
8050,25.61,1.42504
8060,26.28,1.43584
8070,27.18,1.44994
8080,27.85,1.46015
8090,28.74,1.47334
8100,29.42,1.48316
8110,30.31,1.49568
8120,30.56,1.49914
8130,31.46,1.51135
8140,32.13,1.52022
8150,32.8,1.52892
8160,33.69,1.5402
8170,34.59,1.55133
8180,35.48,1.56205
8190,36.18,1.57031
8200,37.08,1.5807
8210,38.2,1.59329
8220,39.09,1.60304
8230,39.99,1.61268
8240,40.69,1.62003
8250,41.58,1.62921
8260,42.7,1.64048
8270,43.58,1.64914
8280,44.04,1.6536
8290,44.68,1.65973
8300,44.48,1.65782
8310,44.48,1.65782
8320,44.94,1.66219
8330,45.38,1.66633
8340,46.06,1.67265
8350,46.72,1.6787
8360,47.4,1.68485
8370,47.62,1.68681
8380,47.62,1.68681
8390,47.84,1.68878
8400,47.62,1.68681
8410,47.62,1.68681
8420,47.62,1.68681
8430,47.62,1.68681
8440,47.62,1.68681
8450,47.62,1.68681
8460,47.62,1.68681
8470,47.4,1.68485
8480,47.4,1.68485
8490,47.4,1.68485
8500,47.62,1.68681
8510,47.84,1.68878
8520,48.28,1.69267
8530,48.52,1.69478
8540,48.96,1.69862
8550,48.98,1.6988
8560,49.22,1.70088
8570,49.44,1.70278
8580,49.88,1.70655
8590,50.32,1.71029
8600,50.78,1.71416
8610,51.44,1.71966
8620,52.12,1.72526
8630,52.56,1.72884
8640,53.24,1.73432
8650,54.36,1.7432
8660,55.06,1.74865
8670,56.84,1.76223
8680,58.86,1.77714
8690,60.68,1.79014
8700,62.92,1.80564
8710,64.96,1.81928
8720,67.42,1.83518
8730,69.24,1.84658
8740,71.48,1.86022
8750,73.7,1.87332
8760,75.5,1.88366
8770,77.74,1.8962
8780,79.98,1.90838
